{(3.448,9.129) (FE:18:FEAC:CA:E4,-78) (E9:7A:DF:3E:53:80,-78) (E3:62:47:30:DE:6C,-86) (D3:10:7E:CD:51:A2,-84) (D9:F8:2F:94:4D:C2,-65) (D8:DF:B3:A6:33:8F,-67) (12:3B:6A:1B:48:5D,-71)}
{(3.448,9.129) (FE:18:FEAC:CA:E4,-77) (E9:7A:DF:3E:53:80,-78) (E3:62:47:30:DE:6C,-80) (D3:10:7E:CD:51:A2,-69) (D9:F8:2F:94:4D:C2,-62) (D8:DF:B3:A6:33:8F,-71) (12:3B:6A:1B:48:5D,-72)}
{(3.448,9.129) (FE:18:FEAC:CA:E4,-75) (E9:7A:DF:3E:53:80,-84) (E3:62:47:30:DE:6C,-82) (D3:10:7E:CD:51:A2,-74) (D9:F8:2F:94:4D:C2,-63) (D8:DF:B3:A6:33:8F,-63) (12:3B:6A:1B:48:5D,-75)}
{(3.448,9.129) (FE:18:FEAC:CA:E4,-79) (E9:7A:DF:3E:53:80,-82) (E3:62:47:30:DE:6C,-80) (D3:10:7E:CD:51:A2,-74) (D9:F8:2F:94:4D:C2,-60) (D8:DF:B3:A6:33:8F,-66) (12:3B:6A:1B:48:5D,-74)}
{(3.448,9.129) (FE:18:FEAC:CA:E4,-76) (E9:7A:DF:3E:53:80,-82) (E3:62:47:30:DE:6C,-82) (D3:10:7E:CD:51:A2,-91) (D9:F8:2F:94:4D:C2,-63) (D8:DF:B3:A6:33:8F,-67) (12:3B:6A:1B:48:5D,-70)}
#
{(3.027,6.982) (FE:18:FEAC:CA:E4,-79) (E9:7A:DF:3E:53:80,-76) (E3:62:47:30:DE:6C,-61) (D3:10:7E:CD:51:A2,-62) (D9:F8:2F:94:4D:C2,-62) (D8:DF:B3:A6:33:8F,-71) (12:3B:6A:1B:48:5D,-71)}
{(3.027,6.982) (FE:18:FEAC:CA:E4,-80) (E9:7A:DF:3E:53:80,-79) (E3:62:47:30:DE:6C,-61) (D3:10:7E:CD:51:A2,-64) (D9:F8:2F:94:4D:C2,-60) (D8:DF:B3:A6:33:8F,-67) (12:3B:6A:1B:48:5D,-70)}
{(3.027,6.982) (FE:18:FEAC:CA:E4,-80) (E9:7A:DF:3E:53:80,-81) (E3:62:47:30:DE:6C,-65) (D3:10:7E:CD:51:A2,-60) (D9:F8:2F:94:4D:C2,-68) (D8:DF:B3:A6:33:8F,-75) (12:3B:6A:1B:48:5D,-73)}
{(3.027,6.982) (FE:18:FEAC:CA:E4,-82) (E9:7A:DF:3E:53:80,-76) (E3:62:47:30:DE:6C,-67) (D3:10:7E:CD:51:A2,-63) (D9:F8:2F:94:4D:C2,-60) (D8:DF:B3:A6:33:8F,-80) (12:3B:6A:1B:48:5D,-72)}
{(3.027,6.982) (FE:18:FEAC:CA:E4,-89) (E9:7A:DF:3E:53:80,-87) (E3:62:47:30:DE:6C,-62) (D3:10:7E:CD:51:A2,-64) (D9:F8:2F:94:4D:C2,-60) (D8:DF:B3:A6:33:8F,-84) (12:3B:6A:1B:48:5D,-73)}
#
{(1.275,5.293) (FE:18:FEAC:CA:E4,-80) (E9:7A:DF:3E:53:80,-73) (E3:62:47:30:DE:6C,-66) (D3:10:7E:CD:51:A2,-66) (D9:F8:2F:94:4D:C2,-72) (D8:DF:B3:A6:33:8F,-79) (12:3B:6A:1B:48:5D,-69)}
{(1.275,5.293) (FE:18:FEAC:CA:E4,-67) (E9:7A:DF:3E:53:80,-70) (E3:62:47:30:DE:6C,-62) (D3:10:7E:CD:51:A2,-64) (D9:F8:2F:94:4D:C2,-67) (D8:DF:B3:A6:33:8F,-80) (12:3B:6A:1B:48:5D,-77)}
{(1.275,5.293) (FE:18:FEAC:CA:E4,-76) (E9:7A:DF:3E:53:80,-74) (E3:62:47:30:DE:6C,-63) (D3:10:7E:CD:51:A2,-69) (D9:F8:2F:94:4D:C2,-77) (D8:DF:B3:A6:33:8F,-82) (12:3B:6A:1B:48:5D,-75)}
{(1.275,5.293) (FE:18:FEAC:CA:E4,-78) (E9:7A:DF:3E:53:80,-77) (E3:62:47:30:DE:6C,-67) (D3:10:7E:CD:51:A2,-65) (D9:F8:2F:94:4D:C2,-69) (D8:DF:B3:A6:33:8F,-82) (12:3B:6A:1B:48:5D,-83)}
{(1.275,5.293) (FE:18:FEAC:CA:E4,-81) (E9:7A:DF:3E:53:80,-72) (E3:62:47:30:DE:6C,-64) (D3:10:7E:CD:51:A2,-66) (D9:F8:2F:94:4D:C2,-76) (D8:DF:B3:A6:33:8F,-82) (12:3B:6A:1B:48:5D,-83)}
#
{(2.059,3.994) (FE:18:FEAC:CA:E4,-69) (E9:7A:DF:3E:53:80,-68) (E3:62:47:30:DE:6C,-64) (D3:10:7E:CD:51:A2,-65) (D9:F8:2F:94:4D:C2,-82) (D8:DF:B3:A6:33:8F,-77) (12:3B:6A:1B:48:5D,-70)}
{(2.059,3.994) (FE:18:FEAC:CA:E4,-67) (E9:7A:DF:3E:53:80,-78) (E3:62:47:30:DE:6C,-66) (D3:10:7E:CD:51:A2,-69) (D9:F8:2F:94:4D:C2,-80) (D8:DF:B3:A6:33:8F,-84) (12:3B:6A:1B:48:5D,-70)}
{(2.059,3.994) (FE:18:FEAC:CA:E4,-81) (E9:7A:DF:3E:53:80,-65) (E3:62:47:30:DE:6C,-66) (D3:10:7E:CD:51:A2,-64) (D9:F8:2F:94:4D:C2,-78) (D8:DF:B3:A6:33:8F,-85) (12:3B:6A:1B:48:5D,-70)}
{(2.059,3.994) (FE:18:FEAC:CA:E4,-69) (E9:7A:DF:3E:53:80,-75) (E3:62:47:30:DE:6C,-71) (D3:10:7E:CD:51:A2,-70) (D9:F8:2F:94:4D:C2,-76) (D8:DF:B3:A6:33:8F,-93) (12:3B:6A:1B:48:5D,-71)}
{(2.059,3.994) (FE:18:FEAC:CA:E4,-83) (E9:7A:DF:3E:53:80,-65) (E3:62:47:30:DE:6C,-73) (D3:10:7E:CD:51:A2,-61) (D9:F8:2F:94:4D:C2,-76) (D8:DF:B3:A6:33:8F,-68) (12:3B:6A:1B:48:5D,-82)}
#
{(0.882,3.296) (FE:18:FEAC:CA:E4,-69) (E9:7A:DF:3E:53:80,-73) (E3:62:47:30:DE:6C,-77) (D3:10:7E:CD:51:A2,-69) (D9:F8:2F:94:4D:C2,-79) (D8:DF:B3:A6:33:8F,-85) (12:3B:6A:1B:48:5D,-78)}
{(0.882,3.296) (FE:18:FEAC:CA:E4,-76) (E9:7A:DF:3E:53:80,-65) (E3:62:47:30:DE:6C,-76) (D3:10:7E:CD:51:A2,-68) (D9:F8:2F:94:4D:C2,-93) (D8:DF:B3:A6:33:8F,-85) (12:3B:6A:1B:48:5D,-93)}
{(0.882,3.296) (FE:18:FEAC:CA:E4,-76) (E9:7A:DF:3E:53:80,-64) (E3:62:47:30:DE:6C,-82) (D3:10:7E:CD:51:A2,-71) (D9:F8:2F:94:4D:C2,-84) (D8:DF:B3:A6:33:8F,-84) (12:3B:6A:1B:48:5D,-84)}
{(0.882,3.296) (FE:18:FEAC:CA:E4,-76) (E9:7A:DF:3E:53:80,-67) (E3:62:47:30:DE:6C,-76) (D3:10:7E:CD:51:A2,-65) (D9:F8:2F:94:4D:C2,-90) (D8:DF:B3:A6:33:8F,-95) (12:3B:6A:1B:48:5D,-87)}
{(0.882,3.296) (FE:18:FEAC:CA:E4,-78) (E9:7A:DF:3E:53:80,-67) (E3:62:47:30:DE:6C,-70) (D3:10:7E:CD:51:A2,-71) (D9:F8:2F:94:4D:C2,-87) (D8:DF:B3:A6:33:8F,-89) (12:3B:6A:1B:48:5D,-77)}
#
{(1.937,10.686) (FE:18:FEAC:CA:E4,-80) (E9:7A:DF:3E:53:80,-89) (E3:62:47:30:DE:6C,-80) (D3:10:7E:CD:51:A2,-82) (D9:F8:2F:94:4D:C2,-75) (D8:DF:B3:A6:33:8F,-61) (12:3B:6A:1B:48:5D,-80)}
{(1.937,10.686) (FE:18:FEAC:CA:E4,-82) (E9:7A:DF:3E:53:80,-88) (E3:62:47:30:DE:6C,-83) (D3:10:7E:CD:51:A2,-82) (D9:F8:2F:94:4D:C2,-85) (D8:DF:B3:A6:33:8F,-65) (12:3B:6A:1B:48:5D,-84)}
{(1.937,10.686) (FE:18:FEAC:CA:E4,-82) (E9:7A:DF:3E:53:80,-80) (E3:62:47:30:DE:6C,-84) (D3:10:7E:CD:51:A2,-72) (D9:F8:2F:94:4D:C2,-78) (D8:DF:B3:A6:33:8F,-70) (12:3B:6A:1B:48:5D,-84)}
{(1.937,10.686) (FE:18:FEAC:CA:E4,-83) (E9:7A:DF:3E:53:80,-84) (E3:62:47:30:DE:6C,-78) (D3:10:7E:CD:51:A2,-75) (D9:F8:2F:94:4D:C2,-77) (D8:DF:B3:A6:33:8F,-64) (12:3B:6A:1B:48:5D,-85)}
{(1.937,10.686) (FE:18:FEAC:CA:E4,-88) (E9:7A:DF:3E:53:80,-82) (E3:62:47:30:DE:6C,-79) (D3:10:7E:CD:51:A2,-77) (D9:F8:2F:94:4D:C2,-73) (D8:DF:B3:A6:33:8F,-70) (12:3B:6A:1B:48:5D,-88)}
#
